,Islamabad,Taxila,Murree,Nathiagali,Abbottabad,Mansehra,Balakot,Kaghan,Naran,Chilas,Bisham,Gilgit,Hunza,Khunjerab Pass,Malam Jabba,Skardu,Muzaffarabad
Islamabad,0,46,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Taxila,46,0,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,254,-1,-1
Murree,49,-1,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68
Nathiagali,-1,-1,36,0,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Abbottabad,-1,74,-1,34,0,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mansehra,-1,-1,-1,-1,23,0,37,-1,-1,-1,113,-1,-1,-1,-1,-1,-1
Balakot,-1,-1,-1,-1,-1,37,0,59,-1,-1,136,-1,-1,-1,-1,-1,-1
Kaghan,-1,-1,-1,-1,-1,-1,59,0,22,-1,-1,-1,-1,-1,-1,-1,-1
Naran,-1,-1,-1,-1,-1,-1,-1,22,0,113,-1,-1,-1,-1,-1,-1,-1
Chilas,-1,-1,-1,-1,-1,-1,-1,-1,113,0,199,133,306,-1,-1,-1,-1
Bisham,-1,-1,-1,-1,-1,113,136,-1,-1,199,0,-1,-1,-1,61,-1,-1
Gilgit,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,-1,0,186,-1,-1,208,-1
Hunza,-1,-1,-1,-1,-1,-1,-1,-1,-1,306,-1,186,0,151,-1,381,-1
Khunjerab Pass,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,0,-1,-1,-1
Malam Jabba,-1,254,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,-1,-1,0,-1,-1
Skardu,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,381,-1,-1,0,484
Muzaffarabad,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,484,0
